Correct,Target,Result,Input Time (s)
0,water,touch,8.684765577316284
0,water,,10.013534545898438
0,why,open,4.688302993774414
0,why,,10.004395246505737
0,finish,,10.012533187866211
0,home,,10.019882202148438
0,happy,,10.01960015296936
0,open,now,1.5379409790039062
0,open,hello,9.823050022125244
0,open,,10.007483959197998
0,rain,hello,1.9075534343719482
0,rain,snow,6.040706396102905
0,rain,snow,8.085020780563354
0,rain,,10.009588956832886
0,cat,,10.012532711029053
1,down,down,2.2721199989318848
0,sad,,10.003816604614258
